status,ticket_id,priority,source,topic,agent_group,agent_name,created_time,expected_sla_to_resolve,expected_sla_to_first response,first_response_time,sla_for_first response,resolution_time,sla_for_resolution,close_time,agent_interactions,survey_results,product_group,support_level,country,latitude,longitude
Closed,TCKT-100070,Low,Chat,Hardware Failure,IT Support,Agent 69,29-06-2024 13:50,29-06-2024 17:50,29-06-2024 14:50,29-06-2024 14:43,Met,29-06-2024 18:33,Breached,29-06-2024 17:38,1,Dissatisfied,Network,L2,Oman,22.0022,55.6089
New,TCKT-100079,High,Phone,Software Bug,IT Support,Agent 2,22-04-2024 15:15,22-04-2024 17:15,22-04-2024 15:45,22-04-2024 15:41,Met,22-04-2024 16:59,Met,22-04-2024 17:01,4,Very Satisfied,Cloud,L1,Saudi Arabia,23.0503,50.2757
New,TCKT-100082,Low,Chat,Access Request,IT Support,Agent 24,24-06-2024 11:45,24-06-2024 15:45,24-06-2024 12:45,24-06-2024 12:44,Met,24-06-2024 15:35,Met,24-06-2024 15:35,5,Dissatisfied,Network,L3,Saudi Arabia,25.5668,55.9619
Closed,TCKT-100092,Critical,Portal,Hardware Failure,IT Support,Agent 78,20-05-2024 13:55,20-05-2024 14:55,20-05-2024 14:05,20-05-2024 13:55,Met,20-05-2024 17:35,Breached,20-05-2024 14:35,3,Very Dissatisfied,Cloud,L1,UAE,23.8468,50.7674
Closed,TCKT-100093,High,Email,Hardware Failure,IT Support,Agent 74,09-04-2024 01:42,09-04-2024 03:42,09-04-2024 02:12,09-04-2024 02:11,Met,09-04-2024 05:26,Breached,09-04-2024 03:26,4,Very Satisfied,Software,L1,Saudi Arabia,22.5166,52.0328
Resolved,TCKT-100104,Medium,Phone,Access Request,IT Support,Agent 77,02-08-2024 09:58,02-08-2024 12:58,02-08-2024 10:43,02-08-2024 10:41,Met,02-08-2024 12:42,Met,02-08-2024 12:44,2,Satisfied,Software,L3,Qatar,25.0274,50.7539
In Progress,TCKT-100105,Low,Phone,General Inquiry,IT Support,Agent 10,08-06-2024 20:04,09-06-2024 00:04,08-06-2024 21:04,08-06-2024 21:00,Met,09-06-2024 00:53,Breached,08-06-2024 23:54,1,Neutral,Network,L1,Kuwait,24.4262,55.4112
In Progress,TCKT-100106,Low,Phone,Network Issue,IT Support,Agent 56,22-04-2024 13:14,22-04-2024 17:14,22-04-2024 14:14,22-04-2024 14:12,Met,22-04-2024 17:07,Met,22-04-2024 17:09,4,Satisfied,Network,L2,Oman,25.8087,54.6482
New,TCKT-100112,Low,Phone,Access Request,IT Support,Agent 8,10-08-2024 17:34,10-08-2024 21:34,10-08-2024 18:34,10-08-2024 18:29,Met,10-08-2024 21:15,Met,10-08-2024 21:20,4,Dissatisfied,Hardware,L3,UAE,25.4675,50.3919
Resolved,TCKT-100115,Low,Email,General Inquiry,IT Support,Agent 79,03-07-2024 23:51,04-07-2024 03:51,04-07-2024 00:51,04-07-2024 00:43,Met,04-07-2024 03:45,Met,04-07-2024 03:47,1,Very Dissatisfied,Hardware,L1,Saudi Arabia,22.6077,53.6436
Closed,TCKT-100117,Medium,Phone,Network Issue,IT Support,Agent 12,01-04-2024 22:02,02-04-2024 01:02,01-04-2024 22:47,01-04-2024 22:47,Met,02-04-2024 01:02,Breached,02-04-2024 01:07,5,Dissatisfied,Hardware,L2,Oman,23.6364,50.514
Open,TCKT-100123,Medium,Phone,Hardware Failure,IT Support,Agent 43,02-08-2024 05:11,02-08-2024 08:11,02-08-2024 05:56,02-08-2024 05:52,Met,02-08-2024 08:00,Met,02-08-2024 08:02,2,Neutral,Software,L2,Kuwait,23.8985,52.6903
Resolved,TCKT-100128,High,Email,Network Issue,IT Support,Agent 5,28-07-2024 23:20,29-07-2024 01:20,28-07-2024 23:50,28-07-2024 23:50,Met,29-07-2024 03:06,Breached,29-07-2024 01:08,2,Dissatisfied,Network,L1,Bahrain,22.2204,55.855
In Progress,TCKT-100131,Critical,Email,Hardware Failure,IT Support,Agent 11,23-07-2024 01:57,23-07-2024 02:57,23-07-2024 02:07,23-07-2024 02:02,Met,23-07-2024 02:39,Met,23-07-2024 02:40,1,Very Satisfied,Hardware,L2,Oman,25.6361,55.6811
Resolved,TCKT-100135,High,Phone,Software Bug,IT Support,Agent 57,25-05-2024 10:08,25-05-2024 12:08,25-05-2024 10:38,25-05-2024 10:36,Met,25-05-2024 11:59,Met,25-05-2024 11:59,5,Satisfied,Cloud,L3,UAE,25.9244,55.0616
In Progress,TCKT-100141,Low,Phone,Hardware Failure,IT Support,Agent 62,19-07-2024 00:53,19-07-2024 04:53,19-07-2024 01:53,19-07-2024 01:44,Met,19-07-2024 04:43,Met,19-07-2024 04:48,5,Dissatisfied,Network,L1,UAE,24.9128,50.5173
New,TCKT-100150,Low,Portal,General Inquiry,IT Support,Agent 59,05-08-2024 02:21,05-08-2024 06:21,05-08-2024 03:21,05-08-2024 03:20,Met,05-08-2024 06:17,Met,05-08-2024 06:18,2,Satisfied,Hardware,L2,Oman,22.5984,52.5542
Resolved,TCKT-100154,Medium,Phone,Hardware Failure,IT Support,Agent 65,16-04-2024 22:41,17-04-2024 01:41,16-04-2024 23:26,16-04-2024 23:26,Met,17-04-2024 01:23,Met,17-04-2024 01:23,4,Satisfied,Cloud,L2,Bahrain,22.4719,54.0556
Open,TCKT-100160,Medium,Email,Network Issue,IT Support,Agent 34,14-06-2024 11:19,14-06-2024 14:19,14-06-2024 12:04,14-06-2024 12:02,Met,14-06-2024 15:33,Breached,14-06-2024 14:03,3,Neutral,Software,L1,UAE,25.1834,54.5868
In Progress,TCKT-100161,Critical,Phone,General Inquiry,IT Support,Agent 40,29-04-2024 08:59,29-04-2024 09:59,29-04-2024 09:09,29-04-2024 09:05,Met,29-04-2024 09:40,Met,29-04-2024 09:42,2,Dissatisfied,Cloud,L2,Kuwait,24.3394,50.3665
In Progress,TCKT-100165,Medium,Chat,General Inquiry,IT Support,Agent 31,11-05-2024 16:01,11-05-2024 19:01,11-05-2024 16:46,11-05-2024 16:36,Met,11-05-2024 18:43,Met,11-05-2024 18:46,5,Very Satisfied,Network,L1,Qatar,25.4688,50.5684
Closed,TCKT-100172,High,Chat,Network Issue,IT Support,Agent 1,20-07-2024 04:03,20-07-2024 06:03,20-07-2024 04:33,20-07-2024 04:29,Met,20-07-2024 05:56,Met,20-07-2024 05:57,2,Neutral,Cloud,L2,UAE,24.4645,53.3724
Closed,TCKT-100175,High,Phone,General Inquiry,IT Support,Agent 17,06-05-2024 06:31,06-05-2024 08:31,06-05-2024 07:01,06-05-2024 06:51,Met,06-05-2024 08:29,Met,06-05-2024 08:31,1,Neutral,Network,L3,Saudi Arabia,23.9762,53.4061
Open,TCKT-100177,High,Email,Hardware Failure,IT Support,Agent 15,15-05-2024 05:06,15-05-2024 07:06,15-05-2024 05:36,15-05-2024 05:36,Met,15-05-2024 07:03,Met,15-05-2024 07:03,2,Satisfied,Hardware,L2,Kuwait,24.1079,52.0711
In Progress,TCKT-100180,Critical,Portal,Software Bug,IT Support,Agent 28,22-04-2024 16:39,22-04-2024 17:39,22-04-2024 16:49,22-04-2024 16:49,Met,22-04-2024 20:36,Breached,22-04-2024 17:36,4,Neutral,Software,L1,Oman,24.1366,55.1445
Closed,TCKT-100189,Low,Portal,Software Bug,IT Support,Agent 66,10-06-2024 13:09,10-06-2024 17:09,10-06-2024 14:09,10-06-2024 13:59,Met,10-06-2024 17:02,Met,10-06-2024 17:07,4,Neutral,Software,L1,Oman,25.7317,55.0715
New,TCKT-100209,Low,Phone,General Inquiry,IT Support,Agent 78,17-04-2024 22:23,18-04-2024 02:23,17-04-2024 23:23,17-04-2024 23:20,Met,18-04-2024 02:16,Met,18-04-2024 02:16,5,Neutral,Cloud,L3,UAE,23.2391,52.7837
Closed,TCKT-100211,Medium,Phone,General Inquiry,IT Support,Agent 71,04-08-2024 00:18,04-08-2024 03:18,04-08-2024 01:03,04-08-2024 01:00,Met,04-08-2024 03:05,Met,04-08-2024 03:05,4,Dissatisfied,Cloud,L1,Oman,25.0504,51.4609
Open,TCKT-100212,High,Chat,Network Issue,IT Support,Agent 75,11-08-2024 22:04,12-08-2024 00:04,11-08-2024 22:34,11-08-2024 22:28,Met,12-08-2024 02:04,Breached,12-08-2024 00:09,2,Satisfied,Network,L2,Saudi Arabia,22.5968,54.0336
Closed,TCKT-100217,High,Email,Network Issue,IT Support,Agent 27,13-05-2024 19:09,13-05-2024 21:09,13-05-2024 19:39,13-05-2024 19:39,Met,13-05-2024 20:52,Met,13-05-2024 20:57,2,Neutral,Hardware,L3,UAE,23.0548,54.7329
Closed,TCKT-100221,Low,Phone,General Inquiry,IT Support,Agent 12,21-06-2024 15:42,21-06-2024 19:42,21-06-2024 16:42,21-06-2024 16:42,Met,21-06-2024 20:22,Breached,21-06-2024 19:26,3,Neutral,Network,L2,Oman,23.5654,51.3197
New,TCKT-100225,Medium,Portal,Software Bug,IT Support,Agent 30,05-07-2024 06:47,05-07-2024 09:47,05-07-2024 07:32,05-07-2024 07:31,Met,05-07-2024 09:27,Met,05-07-2024 09:32,2,Neutral,Network,L2,Qatar,25.707,52.7629
Closed,TCKT-100233,Low,Chat,Access Request,IT Support,Agent 72,02-06-2024 04:27,02-06-2024 08:27,02-06-2024 05:27,02-06-2024 05:22,Met,02-06-2024 08:14,Met,02-06-2024 08:15,2,Dissatisfied,Hardware,L2,Qatar,25.8031,54.9012
In Progress,TCKT-100240,Low,Portal,Software Bug,IT Support,Agent 67,04-06-2024 19:19,04-06-2024 23:19,04-06-2024 20:19,04-06-2024 20:14,Met,04-06-2024 23:10,Met,04-06-2024 23:13,2,Satisfied,Hardware,L3,Qatar,24.359,51.6476
In Progress,TCKT-100252,Low,Portal,Network Issue,IT Support,Agent 69,24-05-2024 20:54,25-05-2024 00:54,24-05-2024 21:54,24-05-2024 21:46,Met,25-05-2024 00:49,Met,25-05-2024 00:52,2,Dissatisfied,Cloud,L3,Saudi Arabia,24.8892,50.1273
Resolved,TCKT-100262,Medium,Email,Hardware Failure,IT Support,Agent 62,19-06-2024 11:48,19-06-2024 14:48,19-06-2024 12:33,19-06-2024 12:32,Met,19-06-2024 14:48,Breached,19-06-2024 14:50,1,Dissatisfied,Software,L1,Bahrain,23.6933,55.6771
In Progress,TCKT-100264,High,Chat,Access Request,IT Support,Agent 46,29-04-2024 01:32,29-04-2024 03:32,29-04-2024 02:02,29-04-2024 02:01,Met,29-04-2024 05:27,Breached,29-04-2024 03:30,1,Satisfied,Hardware,L2,Bahrain,22.6597,54.5175
Closed,TCKT-100272,Medium,Portal,Access Request,IT Support,Agent 79,13-05-2024 17:52,13-05-2024 20:52,13-05-2024 18:37,13-05-2024 18:35,Met,13-05-2024 20:37,Met,13-05-2024 20:38,2,Very Satisfied,Hardware,L2,Kuwait,24.5939,54.9978
Resolved,TCKT-100297,Medium,Phone,General Inquiry,IT Support,Agent 77,15-04-2024 19:21,15-04-2024 22:21,15-04-2024 20:06,15-04-2024 19:59,Met,15-04-2024 23:50,Breached,15-04-2024 22:24,2,Dissatisfied,Hardware,L2,Oman,25.0241,50.007
Resolved,TCKT-100300,Medium,Chat,Network Issue,IT Support,Agent 47,02-06-2024 12:07,02-06-2024 15:07,02-06-2024 12:52,02-06-2024 12:45,Met,02-06-2024 14:58,Met,02-06-2024 15:00,3,Satisfied,Software,L3,Oman,23.9075,54.13
New,TCKT-100303,Critical,Email,Hardware Failure,IT Support,Agent 55,07-05-2024 22:30,07-05-2024 23:30,07-05-2024 22:40,07-05-2024 22:39,Met,07-05-2024 23:26,Met,07-05-2024 23:29,4,Satisfied,Hardware,L1,Qatar,24.9512,55.3687
Open,TCKT-100309,Critical,Portal,Access Request,IT Support,Agent 76,23-05-2024 11:49,23-05-2024 12:49,23-05-2024 11:59,23-05-2024 11:53,Met,23-05-2024 12:36,Met,23-05-2024 12:37,1,Satisfied,Network,L3,UAE,23.1564,50.3932
Resolved,TCKT-100312,High,Email,Hardware Failure,IT Support,Agent 74,04-07-2024 17:53,04-07-2024 19:53,04-07-2024 18:23,04-07-2024 18:16,Met,04-07-2024 19:52,Met,04-07-2024 19:54,5,Neutral,Software,L3,Kuwait,22.3851,52.7584
In Progress,TCKT-100320,Low,Chat,Access Request,IT Support,Agent 43,09-05-2024 23:49,10-05-2024 03:49,10-05-2024 00:49,10-05-2024 00:49,Met,10-05-2024 03:48,Met,10-05-2024 03:51,3,Dissatisfied,Network,L1,UAE,24.9696,53.2389
Open,TCKT-100327,High,Portal,Network Issue,IT Support,Agent 36,08-05-2024 02:41,08-05-2024 04:41,08-05-2024 03:11,08-05-2024 03:07,Met,08-05-2024 06:37,Breached,08-05-2024 04:38,5,Very Dissatisfied,Network,L1,Oman,24.3412,52.031
Open,TCKT-100343,High,Email,Access Request,IT Support,Agent 7,03-05-2024 13:33,03-05-2024 15:33,03-05-2024 14:03,03-05-2024 13:53,Met,03-05-2024 15:31,Met,03-05-2024 15:33,4,Dissatisfied,Hardware,L1,Saudi Arabia,24.0395,51.5413
In Progress,TCKT-100345,Medium,Email,Network Issue,IT Support,Agent 78,18-06-2024 12:43,18-06-2024 15:43,18-06-2024 13:28,18-06-2024 13:21,Met,18-06-2024 15:32,Met,18-06-2024 15:34,1,Satisfied,Cloud,L1,Qatar,25.1509,52.5024
New,TCKT-100350,Low,Chat,Software Bug,IT Support,Agent 12,19-05-2024 18:18,19-05-2024 22:18,19-05-2024 19:18,19-05-2024 19:17,Met,19-05-2024 22:12,Met,19-05-2024 22:17,2,Dissatisfied,Network,L3,Oman,22.3979,55.9353
Resolved,TCKT-100354,Critical,Email,Access Request,IT Support,Agent 50,25-05-2024 12:40,25-05-2024 13:40,25-05-2024 12:50,25-05-2024 12:49,Met,25-05-2024 16:37,Breached,25-05-2024 13:42,1,Dissatisfied,Software,L1,UAE,24.976,51.4106
New,TCKT-100357,High,Portal,Software Bug,IT Support,Agent 73,12-06-2024 04:06,12-06-2024 06:06,12-06-2024 04:36,12-06-2024 04:33,Met,12-06-2024 05:46,Met,12-06-2024 05:48,1,Neutral,Cloud,L3,UAE,23.2436,53.9847
Open,TCKT-100358,Medium,Phone,Network Issue,IT Support,Agent 10,14-05-2024 18:11,14-05-2024 21:11,14-05-2024 18:56,14-05-2024 18:55,Met,14-05-2024 21:09,Met,14-05-2024 21:10,3,Satisfied,Hardware,L3,UAE,25.68,55.5626
Closed,TCKT-100363,High,Portal,Access Request,IT Support,Agent 57,16-06-2024 14:01,16-06-2024 16:01,16-06-2024 14:31,16-06-2024 14:31,Met,16-06-2024 15:45,Met,16-06-2024 15:47,1,Neutral,Cloud,L2,Oman,24.4215,50.6948
Open,TCKT-100366,Medium,Chat,Access Request,IT Support,Agent 61,03-07-2024 01:26,03-07-2024 04:26,03-07-2024 02:11,03-07-2024 02:06,Met,03-07-2024 04:13,Met,03-07-2024 04:16,3,Dissatisfied,Cloud,L3,Oman,24.7092,53.6447
In Progress,TCKT-100374,Medium,Phone,Access Request,IT Support,Agent 74,23-06-2024 12:25,23-06-2024 15:25,23-06-2024 13:10,23-06-2024 13:08,Met,23-06-2024 16:47,Breached,23-06-2024 15:22,5,Neutral,Cloud,L3,Saudi Arabia,25.5683,52.0515
Open,TCKT-100382,Critical,Chat,Hardware Failure,IT Support,Agent 4,06-05-2024 06:38,06-05-2024 07:38,06-05-2024 06:48,06-05-2024 06:47,Met,06-05-2024 10:37,Breached,06-05-2024 07:38,5,Neutral,Network,L1,Saudi Arabia,25.2258,52.2636
Resolved,TCKT-100388,Medium,Chat,Software Bug,IT Support,Agent 70,31-05-2024 20:29,31-05-2024 23:29,31-05-2024 21:14,31-05-2024 21:09,Met,31-05-2024 23:25,Met,31-05-2024 23:26,2,Dissatisfied,Cloud,L2,Kuwait,23.7492,53.9354
Resolved,TCKT-100390,Medium,Portal,Software Bug,IT Support,Agent 47,25-05-2024 17:26,25-05-2024 20:26,25-05-2024 18:11,25-05-2024 18:04,Met,25-05-2024 20:08,Met,25-05-2024 20:11,2,Very Dissatisfied,Cloud,L1,Bahrain,25.7364,55.1598
Closed,TCKT-100394,Medium,Phone,Access Request,IT Support,Agent 13,19-05-2024 16:08,19-05-2024 19:08,19-05-2024 16:53,19-05-2024 16:44,Met,19-05-2024 18:54,Met,19-05-2024 18:57,3,Satisfied,Network,L2,UAE,23.5572,55.8142
New,TCKT-100395,Medium,Email,Software Bug,IT Support,Agent 80,01-04-2024 01:12,01-04-2024 04:12,01-04-2024 01:57,01-04-2024 01:48,Met,01-04-2024 05:35,Breached,01-04-2024 04:07,4,Very Satisfied,Network,L1,UAE,22.6534,53.6395
Resolved,TCKT-100403,Low,Chat,Network Issue,IT Support,Agent 8,24-06-2024 02:31,24-06-2024 06:31,24-06-2024 03:31,24-06-2024 03:25,Met,24-06-2024 06:16,Met,24-06-2024 06:21,5,Very Satisfied,Network,L1,Kuwait,24.5277,54.0182
New,TCKT-100404,High,Phone,General Inquiry,IT Support,Agent 19,03-08-2024 04:43,03-08-2024 06:43,03-08-2024 05:13,03-08-2024 05:06,Met,03-08-2024 08:32,Breached,03-08-2024 06:33,5,Very Satisfied,Hardware,L3,UAE,24.2137,53.1881
Open,TCKT-100414,Medium,Phone,Hardware Failure,IT Support,Agent 69,31-05-2024 23:24,01-06-2024 02:24,01-06-2024 00:09,01-06-2024 00:00,Met,01-06-2024 02:15,Met,01-06-2024 02:19,5,Dissatisfied,Hardware,L2,UAE,23.7055,55.6141
In Progress,TCKT-100418,Low,Chat,General Inquiry,IT Support,Agent 17,13-07-2024 06:04,13-07-2024 10:04,13-07-2024 07:04,13-07-2024 07:01,Met,13-07-2024 09:46,Met,13-07-2024 09:47,3,Neutral,Hardware,L1,Kuwait,22.7027,52.0186
Resolved,TCKT-100420,Critical,Phone,General Inquiry,IT Support,Agent 71,26-07-2024 03:09,26-07-2024 04:09,26-07-2024 03:19,26-07-2024 03:16,Met,26-07-2024 07:07,Breached,26-07-2024 04:12,2,Very Dissatisfied,Software,L3,Bahrain,22.4695,54.5235
Open,TCKT-100421,Medium,Phone,Access Request,IT Support,Agent 34,23-05-2024 09:59,23-05-2024 12:59,23-05-2024 10:44,23-05-2024 10:35,Met,23-05-2024 12:58,Met,23-05-2024 12:59,1,Dissatisfied,Cloud,L2,Saudi Arabia,25.6107,53.3088
In Progress,TCKT-100423,Low,Phone,General Inquiry,IT Support,Agent 50,14-04-2024 09:08,14-04-2024 13:08,14-04-2024 10:08,14-04-2024 09:58,Met,14-04-2024 12:57,Met,14-04-2024 13:01,5,Satisfied,Hardware,L2,Kuwait,23.674,50.8522
Resolved,TCKT-100424,Critical,Email,Software Bug,IT Support,Agent 70,09-05-2024 15:34,09-05-2024 16:34,09-05-2024 15:44,09-05-2024 15:37,Met,09-05-2024 19:25,Breached,09-05-2024 16:26,1,Very Dissatisfied,Network,L3,Bahrain,23.3593,53.6783
In Progress,TCKT-100429,High,Chat,Access Request,IT Support,Agent 5,30-05-2024 23:31,31-05-2024 01:31,31-05-2024 00:01,30-05-2024 23:55,Met,31-05-2024 01:18,Met,31-05-2024 01:23,2,Satisfied,Network,L2,Kuwait,23.2772,50.791
Open,TCKT-100430,High,Portal,Hardware Failure,IT Support,Agent 78,15-05-2024 00:35,15-05-2024 02:35,15-05-2024 01:05,15-05-2024 00:55,Met,15-05-2024 04:25,Breached,15-05-2024 02:28,4,Dissatisfied,Cloud,L3,Oman,22.0607,55.3493
Closed,TCKT-100435,Medium,Portal,Access Request,IT Support,Agent 46,10-06-2024 00:10,10-06-2024 03:10,10-06-2024 00:55,10-06-2024 00:47,Met,10-06-2024 02:58,Met,10-06-2024 03:03,5,Neutral,Network,L2,Qatar,23.3812,53.2638
In Progress,TCKT-100439,Medium,Phone,Network Issue,IT Support,Agent 77,14-06-2024 02:09,14-06-2024 05:09,14-06-2024 02:54,14-06-2024 02:44,Met,14-06-2024 05:05,Met,14-06-2024 05:08,5,Dissatisfied,Network,L2,Saudi Arabia,23.6296,54.4121
Resolved,TCKT-100450,Medium,Portal,General Inquiry,IT Support,Agent 31,02-06-2024 10:56,02-06-2024 13:56,02-06-2024 11:41,02-06-2024 11:36,Met,02-06-2024 13:55,Met,02-06-2024 13:58,4,Satisfied,Hardware,L2,Bahrain,25.0011,50.8165
In Progress,TCKT-100451,High,Portal,Network Issue,IT Support,Agent 49,02-05-2024 06:07,02-05-2024 08:07,02-05-2024 06:37,02-05-2024 06:30,Met,02-05-2024 10:06,Breached,02-05-2024 08:11,2,Very Dissatisfied,Hardware,L3,Saudi Arabia,24.2762,53.254
Resolved,TCKT-100453,Medium,Portal,Hardware Failure,IT Support,Agent 79,08-08-2024 12:13,08-08-2024 15:13,08-08-2024 12:58,08-08-2024 12:52,Met,08-08-2024 16:37,Breached,08-08-2024 15:11,1,Neutral,Cloud,L1,Kuwait,22.9515,51.0324
New,TCKT-100461,High,Email,General Inquiry,IT Support,Agent 15,13-05-2024 03:17,13-05-2024 05:17,13-05-2024 03:47,13-05-2024 03:38,Met,13-05-2024 05:10,Met,13-05-2024 05:10,2,Satisfied,Cloud,L3,Saudi Arabia,24.0457,50.6637
New,TCKT-100463,Low,Portal,Hardware Failure,IT Support,Agent 76,14-05-2024 10:45,14-05-2024 14:45,14-05-2024 11:45,14-05-2024 11:45,Met,14-05-2024 14:44,Met,14-05-2024 14:45,2,Neutral,Cloud,L1,Qatar,25.2476,50.8059
Closed,TCKT-100464,Low,Phone,Software Bug,IT Support,Agent 74,02-05-2024 22:18,03-05-2024 02:18,02-05-2024 23:18,02-05-2024 23:18,Met,03-05-2024 02:01,Met,03-05-2024 02:05,4,Very Satisfied,Hardware,L3,UAE,24.4635,50.0642
New,TCKT-100471,High,Email,Access Request,IT Support,Agent 42,07-07-2024 04:29,07-07-2024 06:29,07-07-2024 04:59,07-07-2024 04:52,Met,07-07-2024 06:23,Met,07-07-2024 06:27,4,Satisfied,Cloud,L3,Saudi Arabia,23.5598,52.5234
Closed,TCKT-100478,High,Phone,Access Request,IT Support,Agent 41,25-07-2024 02:38,25-07-2024 04:38,25-07-2024 03:08,25-07-2024 02:58,Met,25-07-2024 04:24,Met,25-07-2024 04:25,5,Dissatisfied,Hardware,L2,Qatar,23.8072,52.7528
Open,TCKT-100485,Critical,Portal,Software Bug,IT Support,Agent 76,05-07-2024 07:03,05-07-2024 08:03,05-07-2024 07:13,05-07-2024 07:07,Met,05-07-2024 07:53,Met,05-07-2024 07:58,5,Very Satisfied,Software,L2,Oman,22.0657,53.8734
In Progress,TCKT-100486,Medium,Chat,Network Issue,IT Support,Agent 5,16-06-2024 03:12,16-06-2024 06:12,16-06-2024 03:57,16-06-2024 03:51,Met,16-06-2024 06:09,Met,16-06-2024 06:14,5,Neutral,Cloud,L1,Oman,24.4596,51.8277
In Progress,TCKT-100503,Critical,Chat,Network Issue,IT Support,Agent 58,25-06-2024 07:27,25-06-2024 08:27,25-06-2024 07:37,25-06-2024 07:36,Met,25-06-2024 11:14,Breached,25-06-2024 08:18,1,Neutral,Cloud,L1,UAE,22.2798,54.804
Resolved,TCKT-100504,High,Email,Network Issue,IT Support,Agent 26,06-04-2024 07:12,06-04-2024 09:12,06-04-2024 07:42,06-04-2024 07:35,Met,06-04-2024 09:08,Met,06-04-2024 09:08,2,Neutral,Software,L3,Bahrain,22.5771,52.1262
Open,TCKT-100506,Medium,Chat,General Inquiry,IT Support,Agent 5,29-07-2024 04:13,29-07-2024 07:13,29-07-2024 04:58,29-07-2024 04:57,Met,29-07-2024 08:42,Breached,29-07-2024 07:15,4,Neutral,Cloud,L2,Qatar,25.6527,52.8629
New,TCKT-100507,Medium,Chat,General Inquiry,IT Support,Agent 17,08-08-2024 14:34,08-08-2024 17:34,08-08-2024 15:19,08-08-2024 15:18,Met,08-08-2024 17:16,Met,08-08-2024 17:19,5,Neutral,Network,L3,Bahrain,22.6477,51.8022
New,TCKT-100509,High,Phone,Access Request,IT Support,Agent 22,18-06-2024 10:59,18-06-2024 12:59,18-06-2024 11:29,18-06-2024 11:21,Met,18-06-2024 12:52,Met,18-06-2024 12:52,3,Very Dissatisfied,Network,L3,Saudi Arabia,24.8096,55.7224
Resolved,TCKT-100510,Critical,Email,General Inquiry,IT Support,Agent 29,28-06-2024 04:25,28-06-2024 05:25,28-06-2024 04:35,28-06-2024 04:35,Met,28-06-2024 05:17,Met,28-06-2024 05:18,2,Very Satisfied,Network,L2,Oman,23.6265,51.1142
In Progress,TCKT-100513,Medium,Portal,General Inquiry,IT Support,Agent 74,28-06-2024 05:35,28-06-2024 08:35,28-06-2024 06:20,28-06-2024 06:12,Met,28-06-2024 08:27,Met,28-06-2024 08:28,2,Dissatisfied,Cloud,L1,Oman,23.9379,50.545
